Vivienda Unifamiliar,,,,,,,,,,,,
Presupuesto,,,,,,,,,,,,
Código,Nat,Ud,Resumen,Comentario,N,Longitud,Anchura,Altura,Cantidad,CanPres,Pres,ImpPres
,,Spc0010,,V.23,1.0000000000,0.000,0.000,0.000,1.000,,,
,,,,,,,,,Total 05.01.22,1.000,0.00,0.00
,,,,,,,,,,,,
05.01.23,Partida,Ud,V.24 Lucernario fijo serie lucenario-veranda con RPT,,,,,,,1.000,0.00,0.00
,,,"Suministro y colocación de perfiles Sistema Cortizo Lucernario-Veranda compuestos por módulos generales de dimensiones según plano CA08 realizados con perfilería de aleación de aluminio 6063 y tratamiento térmico T-5, con apertura proyectante hacia el exterior.
Fija no practicable y Dimensión: 146x107 cm
Estructura autoportante compuesta por montantes y travesaños tipo COR-98xx necesaria para soportar la carga de viento, carga de nieve y peso propio, según normativa vigente y necesidades específicas de la obra. Ambos con una superficie vista de 52mm y provistos de canales de drenaje y ventilación,  unidos mediante tope de travesaño con juntas de dilatación en ambos extremos de los mismos.
Acristalamiento mediante perfil presor COR-9914 que comprime verticalmente el vidrio fijándolo a la estructura autoportante, permitiendo hasta 38mm de espesor. Tapeta de embellecedora vertical el perfil COR-9142 / 9143 / 9183 / 9936 ó 9133 dando como resultado una superficie exterior de aluminio visto de 52 mm en trama vertical. Horizontalmente el acristalamiento se realiza mediante grapas de fijación  atornilladas al travesaño e insertadas en el perfil intercalario COR-9956 del vidrio de cámara. La llaga de sellado horizontal entre los vidrios es de 22mm y evita así la acumulación de agua en el sentido de la caída. 
Juntas de EPDM  en la unión montante-travesaño a través de gomas seccionables o escuadra vulcanizada total. Perfiles de PVC para rotura de puente térmico de 30 mm con Transmitancia Ucw ≥ 0,6 (W/m2K). Sistema de apertura proyectante con hoja formada por perfil COR-9825 y marco COR-9835. 
Apertura mediante actuador eléctrico con fuerza de empuje de hasta 400N y carrera ajustable Control de apertura mediante pulsador o remoto. Posibilidad de apertura mediante actuador manual. Estanqueidad optima mediante triple barrera formada por juntas de EPDM.
Acabado anodizado, acabado GRIS GRATA efectuado en un ciclo completo que comprende las operaciones de desengrase, lavado, oxidación anódica, coloreado y sellado. 
Categorías alcanzadas en banco de ensayos*: 
Permeabilidad al aire según Norma UNE-EN 12152:2000           Clase  AE
Estanqueidad al agua según Norma UNE-EN 12154:2000          Clase  RE1500
Resistencia al viento según Norma UNE-EN 13116:2001            Clase  APTO (Carga de diseño 2000 Pa-carga de seguridad 3000 Pa)
Categoria alcanzadas en banco de ensayos para apertura proyectante*:
Permeabilidad al aire según Norma UNE-EN 12207:2000           Clase  4
Estanqueidad al agua según Norma UNE-EN 12208:2000          Clase  E2100
Resistencia al viento según Norma UNE-EN 12210:2000            Clase  C5 
Incluye: Colocación del premarco. Colocación de la carpintería sobre el premarco , subestructura . Ajuste final de las hojas. Sellado perimetral de la junta entre la carpintería exterior y el paramento. Totalmente rematado y ejecutandose una prueba de estanqueidad definida por D.F.",,,,,,,,,
,,Spc0010,,V.24,1.0000000000,0.000,0.000,0.000,1.000,,,
,,,,,,,,,Total 05.01.23,1.000,0.00,0.00
,,,,,,,,,,,,
05.01.24,Partida,Ud,V.25 Lucernario proyectante motorizado serie lucenario-veranda con RPT,,,,,,,1.000,0.00,0.00
,,,"Suministro y colocación de perfiles Sistema Cortizo Lucernario-Veranda compuestos por módulos generales de dimensiones según plano CA08 realizados con perfilería de aleación de aluminio 6063 y tratamiento térmico T-5, con apertura proyectante hacia el exterior.
Apertura motorizada y Dimensión: 146x158 cm
Estructura autoportante compuesta por montantes y travesaños tipo COR-98xx necesaria para soportar la carga de viento, carga de nieve y peso propio, según normativa vigente y necesidades específicas de la obra. Ambos con una superficie vista de 52mm y provistos de canales de drenaje y ventilación,  unidos mediante tope de travesaño con juntas de dilatación en ambos extremos de los mismos.
Acristalamiento mediante perfil presor COR-9914 que comprime verticalmente el vidrio fijándolo a la estructura autoportante, permitiendo hasta 38mm de espesor. Tapeta de embellecedora vertical el perfil COR-9142 / 9143 / 9183 / 9936 ó 9133 dando como resultado una superficie exterior de aluminio visto de 52 mm en trama vertical. Horizontalmente el acristalamiento se realiza mediante grapas de fijación  atornilladas al travesaño e insertadas en el perfil intercalario COR-9956 del vidrio de cámara. La llaga de sellado horizontal entre los vidrios es de 22mm y evita así la acumulación de agua en el sentido de la caída. 
Juntas de EPDM  en la unión montante-travesaño a través de gomas seccionables o escuadra vulcanizada total. Perfiles de PVC para rotura de puente térmico de 30 mm con Transmitancia Ucw ≥ 0,6 (W/m2K). Sistema de apertura proyectante con hoja formada por perfil COR-9825 y marco COR-9835. 
Apertura mediante actuador eléctrico con fuerza de empuje de hasta 400N y carrera ajustable Control de apertura mediante pulsador o remoto. Posibilidad de apertura mediante actuador manual. Estanqueidad optima mediante triple barrera formada por juntas de EPDM.
Acabado anodizado, acabado GRIS GRATA efectuado en un ciclo completo que comprende las operaciones de desengrase, lavado, oxidación anódica, coloreado y sellado. 
Categorías alcanzadas en banco de ensayos*: 
Permeabilidad al aire según Norma UNE-EN 12152:2000           Clase  AE
Estanqueidad al agua según Norma UNE-EN 12154:2000          Clase  RE1500
Resistencia al viento según Norma UNE-EN 13116:2001            Clase  APTO (Carga de diseño 2000 Pa-carga de seguridad 3000 Pa)
Categoria alcanzadas en banco de ensayos para apertura proyectante*:
Permeabilidad al aire según Norma UNE-EN 12207:2000           Clase  4
Estanqueidad al agua según Norma UNE-EN 12208:2000          Clase  E2100
Resistencia al viento según Norma UNE-EN 12210:2000            Clase  C5 
Incluye: Colocación del premarco. Colocación de la carpintería sobre el premarco , subestructura . Ajuste final de las hojas. Sellado perimetral de la junta entre la carpintería exterior y el paramento. Totalmente rematado y ejecutandose una prueba de estanqueidad definida por D.F.",,,,,,,,,
,,Spc0010,,V.25,1.0000000000,0.000,0.000,0.000,1.000,,,
,,,,,,,,,Total 05.01.24,1.000,0.00,0.00
,,,,,,,,,,,,
05.01.25,Partida,Ud,V.26 Lucernario fijo serie lucenario-veranda con RPT,,,,,,,1.000,0.00,0.00
,,,"Suministro y colocación de perfiles Sistema Cortizo Lucernario-Veranda compuestos por módulos generales de dimensiones según plano CA08 realizados con perfilería de aleación de aluminio 6063 y tratamiento térmico T-5, con apertura proyectante hacia el exterior.
Fija no practicable y Dimensión: 146x125 cm
Estructura autoportante compuesta por montantes y travesaños tipo COR-98xx necesaria para soportar la carga de viento, carga de nieve y peso propio, según normativa vigente y necesidades específicas de la obra. Ambos con una superficie vista de 52mm y provistos de canales de drenaje y ventilación,  unidos mediante tope de travesaño con juntas de dilatación en ambos extremos de los mismos.
Acristalamiento mediante perfil presor COR-9914 que comprime verticalmente el vidrio fijándolo a la estructura autoportante, permitiendo hasta 38mm de espesor. Tapeta de embellecedora vertical el perfil COR-9142 / 9143 / 9183 / 9936 ó 9133 dando como resultado una superficie exterior de aluminio visto de 52 mm en trama vertical. Horizontalmente el acristalamiento se realiza mediante grapas de fijación  atornilladas al travesaño e insertadas en el perfil intercalario COR-9956 del vidrio de cámara. La llaga de sellado horizontal entre los vidrios es de 22mm y evita así la acumulación de agua en el sentido de la caída. 
Juntas de EPDM  en la unión montante-travesaño a través de gomas seccionables o escuadra vulcanizada total. Perfiles de PVC para rotura de puente térmico de 30 mm con Transmitancia Ucw ≥ 0,6 (W/m2K). Sistema de apertura proyectante con hoja formada por perfil COR-9825 y marco COR-9835. 
Apertura mediante actuador eléctrico con fuerza de empuje de hasta 400N y carrera ajustable Control de apertura mediante pulsador o remoto. Posibilidad de apertura mediante actuador manual. Estanqueidad optima mediante triple barrera formada por juntas de EPDM.
Acabado anodizado, acabado GRIS GRATA efectuado en un ciclo completo que comprende las operaciones de desengrase, lavado, oxidación anódica, coloreado y sellado. 
Categorías alcanzadas en banco de ensayos*: 
Permeabilidad al aire según Norma UNE-EN 12152:2000           Clase  AE
Estanqueidad al agua según Norma UNE-EN 12154:2000          Clase  RE1500
Resistencia al viento según Norma UNE-EN 13116:2001            Clase  APTO (Carga de diseño 2000 Pa-carga de seguridad 3000 Pa)
Categoria alcanzadas en banco de ensayos para apertura proyectante*:
Permeabilidad al aire según Norma UNE-EN 12207:2000           Clase  4
Estanqueidad al agua según Norma UNE-EN 12208:2000          Clase  E2100
Resistencia al viento según Norma UNE-EN 12210:2000            Clase  C5 
Incluye: Colocación del premarco. Colocación de la carpintería sobre el premarco , subestructura . Ajuste final de las hojas. Sellado perimetral de la junta entre la carpintería exterior y el paramento. Totalmente rematado y ejecutandose una prueba de estanqueidad definida por D.F.",,,,,,,,,
,,Spc0010,,V.26,1.0000000000,0.000,0.000,0.000,1.000,,,
,,,,,,,,,Total 05.01.25,1.000,0.00,0.00
,,,,,,,,,,,,
05.01.26,Partida,Ud,V.27 Lucernario fijo serie lucenario-veranda con RPT,,,,,,,1.000,0.00,0.00
,,,"Suministro y colocación de perfiles Sistema Cortizo Lucernario-Veranda compuestos por módulos generales de dimensiones según plano CA08 realizados con perfilería de aleación de aluminio 6063 y tratamiento térmico T-5, con apertura proyectante hacia el exterior.
Fija no practicable y Dimensión: 146x180 cm
Estructura autoportante compuesta por montantes y travesaños tipo COR-98xx necesaria para soportar la carga de viento, carga de nieve y peso propio, según normativa vigente y necesidades específicas de la obra. Ambos con una superficie vista de 52mm y provistos de canales de drenaje y ventilación,  unidos mediante tope de travesaño con juntas de dilatación en ambos extremos de los mismos.
Acristalamiento mediante perfil presor COR-9914 que comprime verticalmente el vidrio fijándolo a la estructura autoportante, permitiendo hasta 38mm de espesor. Tapeta de embellecedora vertical el perfil COR-9142 / 9143 / 9183 / 9936 ó 9133 dando como resultado una superficie exterior de aluminio visto de 52 mm en trama vertical. Horizontalmente el acristalamiento se realiza mediante grapas de fijación  atornilladas al travesaño e insertadas en el perfil intercalario COR-9956 del vidrio de cámara. La llaga de sellado horizontal entre los vidrios es de 22mm y evita así la acumulación de agua en el sentido de la caída. 
Juntas de EPDM  en la unión montante-travesaño a través de gomas seccionables o escuadra vulcanizada total. Perfiles de PVC para rotura de puente térmico de 30 mm con Transmitancia Ucw ≥ 0,6 (W/m2K). Sistema de apertura proyectante con hoja formada por perfil COR-9825 y marco COR-9835. 
Apertura mediante actuador eléctrico con fuerza de empuje de hasta 400N y carrera ajustable Control de apertura mediante pulsador o remoto. Posibilidad de apertura mediante actuador manual. Estanqueidad optima mediante triple barrera formada por juntas de EPDM.
Acabado anodizado, acabado GRIS GRATA efectuado en un ciclo completo que comprende las operaciones de desengrase, lavado, oxidación anódica, coloreado y sellado. 
Categorías alcanzadas en banco de ensayos*: 
Permeabilidad al aire según Norma UNE-EN 12152:2000           Clase  AE
Estanqueidad al agua según Norma UNE-EN 12154:2000          Clase  RE1500
Resistencia al viento según Norma UNE-EN 13116:2001            Clase  APTO (Carga de diseño 2000 Pa-carga de seguridad 3000 Pa)
Categoria alcanzadas en banco de ensayos para apertura proyectante*:
Permeabilidad al aire según Norma UNE-EN 12207:2000           Clase  4
Estanqueidad al agua según Norma UNE-EN 12208:2000          Clase  E2100
Resistencia al viento según Norma UNE-EN 12210:2000            Clase  C5 
Incluye: Colocación del premarco. Colocación de la carpintería sobre el premarco , subestructura . Ajuste final de las hojas. Sellado perimetral de la junta entre la carpintería exterior y el paramento. Totalmente rematado y ejecutandose una prueba de estanqueidad definida por D.F.",,,,,,,,,
,,Spc0010,,V.27,1.0000000000,0.000,0.000,0.000,1.000,,,
,,,,,,,,,Total 05.01.26,1.000,0.00,0.00
,,,,,,,,,,,,
05.01.27,Partida,Ud,V.28 Lucernario proyectante motorizado serie lucenario-veranda con RPT,,,,,,,1.000,0.00,0.00
,,,"Suministro y colocación de perfiles Sistema Cortizo Lucernario-Veranda compuestos por módulos generales de dimensiones según plano CA08 realizados con perfilería de aleación de aluminio 6063 y tratamiento térmico T-5, con apertura proyectante hacia el exterior.
Apertura motorizada y Dimensión: 146x102 cm
Estructura autoportante compuesta por montantes y travesaños tipo COR-98xx necesaria para soportar la carga de viento, carga de nieve y peso propio, según normativa vigente y necesidades específicas de la obra. Ambos con una superficie vista de 52mm y provistos de canales de drenaje y ventilación,  unidos mediante tope de travesaño con juntas de dilatación en ambos extremos de los mismos.
Acristalamiento mediante perfil presor COR-9914 que comprime verticalmente el vidrio fijándolo a la estructura autoportante, permitiendo hasta 38mm de espesor. Tapeta de embellecedora vertical el perfil COR-9142 / 9143 / 9183 / 9936 ó 9133 dando como resultado una superficie exterior de aluminio visto de 52 mm en trama vertical. Horizontalmente el acristalamiento se realiza mediante grapas de fijación  atornilladas al travesaño e insertadas en el perfil intercalario COR-9956 del vidrio de cámara. La llaga de sellado horizontal entre los vidrios es de 22mm y evita así la acumulación de agua en el sentido de la caída. 
Juntas de EPDM  en la unión montante-travesaño a través de gomas seccionables o escuadra vulcanizada total. Perfiles de PVC para rotura de puente térmico de 30 mm con Transmitancia Ucw ≥ 0,6 (W/m2K). Sistema de apertura proyectante con hoja formada por perfil COR-9825 y marco COR-9835. 
Apertura mediante actuador eléctrico con fuerza de empuje de hasta 400N y carrera ajustable Control de apertura mediante pulsador o remoto. Posibilidad de apertura mediante actuador manual. Estanqueidad optima mediante triple barrera formada por juntas de EPDM.
Acabado anodizado, acabado GRIS GRATA efectuado en un ciclo completo que comprende las operaciones de desengrase, lavado, oxidación anódica, coloreado y sellado. 
Categorías alcanzadas en banco de ensayos*: 
Permeabilidad al aire según Norma UNE-EN 12152:2000           Clase  AE
Estanqueidad al agua según Norma UNE-EN 12154:2000          Clase  RE1500
Resistencia al viento según Norma UNE-EN 13116:2001            Clase  APTO (Carga de diseño 2000 Pa-carga de seguridad 3000 Pa)
Categoria alcanzadas en banco de ensayos para apertura proyectante*:
Permeabilidad al aire según Norma UNE-EN 12207:2000           Clase  4
Estanqueidad al agua según Norma UNE-EN 12208:2000          Clase  E2100
Resistencia al viento según Norma UNE-EN 12210:2000            Clase  C5 
Incluye: Colocación del premarco. Colocación de la carpintería sobre el premarco , subestructura . Ajuste final de las hojas. Sellado perimetral de la junta entre la carpintería exterior y el paramento. Totalmente rematado y ejecutandose una prueba de estanqueidad definida por D.F.",,,,,,,,,
,,Spc0010,,V.28,1.0000000000,0.000,0.000,0.000,1.000,,,
,,,,,,,,,Total 05.01.27,1.000,0.00,0.00
,,,,,,,,,,,,
05.01.28,Partida,Ud,V.30 Lucernario proyectante motorizado serie lucenario-veranda con RPT,,,,,,,1.000,0.00,0.00
,,,"Suministro y colocación de perfiles Sistema Cortizo Lucernario-Veranda compuestos por módulos generales de dimensiones según plano CA08 realizados con perfilería de aleación de aluminio 6063 y tratamiento térmico T-5, con apertura proyectante hacia el exterior.
Apertura motorizada y Dimensión: 103x120 cm
Estructura autoportante compuesta por montantes y travesaños tipo COR-98xx necesaria para soportar la carga de viento, carga de nieve y peso propio, según normativa vigente y necesidades específicas de la obra. Ambos con una superficie vista de 52mm y provistos de canales de drenaje y ventilación,  unidos mediante tope de travesaño con juntas de dilatación en ambos extremos de los mismos.
Acristalamiento mediante perfil presor COR-9914 que comprime verticalmente el vidrio fijándolo a la estructura autoportante, permitiendo hasta 38mm de espesor. Tapeta de embellecedora vertical el perfil COR-9142 / 9143 / 9183 / 9936 ó 9133 dando como resultado una superficie exterior de aluminio visto de 52 mm en trama vertical. Horizontalmente el acristalamiento se realiza mediante grapas de fijación  atornilladas al travesaño e insertadas en el perfil intercalario COR-9956 del vidrio de cámara. La llaga de sellado horizontal entre los vidrios es de 22mm y evita así la acumulación de agua en el sentido de la caída. 
Juntas de EPDM  en la unión montante-travesaño a través de gomas seccionables o escuadra vulcanizada total. Perfiles de PVC para rotura de puente térmico de 30 mm con Transmitancia Ucw ≥ 0,6 (W/m2K). Sistema de apertura proyectante con hoja formada por perfil COR-9825 y marco COR-9835. 
Apertura mediante actuador eléctrico con fuerza de empuje de hasta 400N y carrera ajustable Control de apertura mediante pulsador o remoto. Posibilidad de apertura mediante actuador manual. Estanqueidad optima mediante triple barrera formada por juntas de EPDM.
Acabado anodizado, acabado GRIS GRATA efectuado en un ciclo completo que comprende las operaciones de desengrase, lavado, oxidación anódica, coloreado y sellado. 
Categorías alcanzadas en banco de ensayos*: 
Permeabilidad al aire según Norma UNE-EN 12152:2000           Clase  AE
Estanqueidad al agua según Norma UNE-EN 12154:2000          Clase  RE1500
Resistencia al viento según Norma UNE-EN 13116:2001            Clase  APTO (Carga de diseño 2000 Pa-carga de seguridad 3000 Pa)
Categoria alcanzadas en banco de ensayos para apertura proyectante*:
Permeabilidad al aire según Norma UNE-EN 12207:2000           Clase  4
Estanqueidad al agua según Norma UNE-EN 12208:2000          Clase  E2100
Resistencia al viento según Norma UNE-EN 12210:2000            Clase  C5 
Incluye: Colocación del premarco. Colocación de la carpintería sobre el premarco , subestructura . Ajuste final de las hojas. Sellado perimetral de la junta entre la carpintería exterior y el paramento. Totalmente rematado y ejecutandose una prueba de estanqueidad definida por D.F.",,,,,,,,,
,,Spc0010,,V.30,1.0000000000,0.000,0.000,0.000,1.000,,,
,,,,,,,,,Total 05.01.28,1.000,0.00,0.00
,,,,,,,,,,,,
05.01.29,Partida,Ud,V.31 Lucernario fijo serie lucenario-veranda con RPT,,,,,,,1.000,0.00,0.00
,,,"Suministro y colocación de perfiles Sistema Cortizo Lucernario-Veranda compuestos por módulos generales de dimensiones según plano CA08 realizados con perfilería de aleación de aluminio 6063 y tratamiento térmico T-5, con apertura proyectante hacia el exterior.
Fija no practicable y Dimensión: 103x222 cm
Estructura autoportante compuesta por montantes y travesaños tipo COR-98xx necesaria para soportar la carga de viento, carga de nieve y peso propio, según normativa vigente y necesidades específicas de la obra. Ambos con una superficie vista de 52mm y provistos de canales de drenaje y ventilación,  unidos mediante tope de travesaño con juntas de dilatación en ambos extremos de los mismos.
Acristalamiento mediante perfil presor COR-9914 que comprime verticalmente el vidrio fijándolo a la estructura autoportante, permitiendo hasta 38mm de espesor. Tapeta de embellecedora vertical el perfil COR-9142 / 9143 / 9183 / 9936 ó 9133 dando como resultado una superficie exterior de aluminio visto de 52 mm en trama vertical. Horizontalmente el acristalamiento se realiza mediante grapas de fijación  atornilladas al travesaño e insertadas en el perfil intercalario COR-9956 del vidrio de cámara. La llaga de sellado horizontal entre los vidrios es de 22mm y evita así la acumulación de agua en el sentido de la caída. 
Juntas de EPDM  en la unión montante-travesaño a través de gomas seccionables o escuadra vulcanizada total. Perfiles de PVC para rotura de puente térmico de 30 mm con Transmitancia Ucw ≥ 0,6 (W/m2K). Sistema de apertura proyectante con hoja formada por perfil COR-9825 y marco COR-9835. 
Apertura mediante actuador eléctrico con fuerza de empuje de hasta 400N y carrera ajustable Control de apertura mediante pulsador o remoto. Posibilidad de apertura mediante actuador manual. Estanqueidad optima mediante triple barrera formada por juntas de EPDM.
Acabado anodizado, acabado GRIS GRATA efectuado en un ciclo completo que comprende las operaciones de desengrase, lavado, oxidación anódica, coloreado y sellado. 
Categorías alcanzadas en banco de ensayos*: 
Permeabilidad al aire según Norma UNE-EN 12152:2000           Clase  AE
Estanqueidad al agua según Norma UNE-EN 12154:2000          Clase  RE1500
Resistencia al viento según Norma UNE-EN 13116:2001            Clase  APTO (Carga de diseño 2000 Pa-carga de seguridad 3000 Pa)
Categoria alcanzadas en banco de ensayos para apertura proyectante*:
Permeabilidad al aire según Norma UNE-EN 12207:2000           Clase  4
Estanqueidad al agua según Norma UNE-EN 12208:2000          Clase  E2100
Resistencia al viento según Norma UNE-EN 12210:2000            Clase  C5 
Incluye: Colocación del premarco. Colocación de la carpintería sobre el premarco , subestructura . Ajuste final de las hojas. Sellado perimetral de la junta entre la carpintería exterior y el paramento. Totalmente rematado y ejecutandose una prueba de estanqueidad definida por D.F.",,,,,,,,,
,,Spc0010,,V.31,1.0000000000,0.000,0.000,0.000,1.000,,,
,,,,,,,,,Total 05.01.29,1.000,0.00,0.00
,,,,,,,,,,,,
05.01.30,Partida,Ud,"Pe.4 Puerta de aluminio, serie Cor-70 Hoja Oculta ""CORTIZO""",,,,,,,1.000,0.00,0.00
,,,"Puerta de aluminio, serie Cor-70 Hoja Oculta ""CORTIZO"", con rotura de puente térmico, una hoja practicable, con apertura hacia el interior, dimensiones 1000x2650 mm, anodizado color GRIS GRATA, con el sello EWAA-EURAS, que garantiza el espesor y la calidad del proceso de anodizado, compuesta de hoja de 70 mm y marco de 70 mm, junquillos, galce, juntas de estanqueidad de EPDM, manilla ""Stylish"" y herrajes, según UNE-EN 14351-1; transmitancia térmica del marco: Uh,m = desde 2,0 W/(m²K); espesor máximo del acristalamiento: 40 mm, con clasificación a la permeabilidad al aire clase 4, según UNE-EN 12207, clasificación a la estanqueidad al agua clase E1650, según UNE-EN 12208, y clasificación a la resistencia a la carga del viento clase C5, según UNE-EN 12210, con cerradura de seguridad, con premarco. Incluso silicona para sellado perimetral de la junta entre la carpintería exterior y el paramento. TSAC.
Incluye: Colocación del premarco. Colocación de la carpintería sobre el premarco. Ajuste final de la hoja. Sellado perimetral de la junta entre la carpintería exterior y el paramento.",,,,,,,,,
,,Spc0010,,Pe.4,1.0000000000,0.000,0.000,0.000,1.000,,,
,,,,,,,,,Total 05.01.30,1.000,0.00,0.00
,,,,,,,,,,,,
05.01.31,Partida,Ud,"Pe.5 Puerta de aluminio, serie Cor-70 Hoja Oculta ""CORTIZO""",,,,,,,1.000,0.00,0.00
,,,"Puerta de aluminio, serie Cor-70 Hoja Oculta ""CORTIZO"", con rotura de puente térmico, una hoja practicable, con apertura hacia el interior, dimensiones 1400x2500 mm, anodizado color GRIS GRATA, con el sello EWAA-EURAS, que garantiza el espesor y la calidad del proceso de anodizado, compuesta de hoja de 70 mm y marco de 70 mm, junquillos, galce, juntas de estanqueidad de EPDM, manilla ""Stylish"" y herrajes, según UNE-EN 14351-1; transmitancia térmica del marco: Uh,m = desde 2,0 W/(m²K); espesor máximo del acristalamiento: 40 mm, con clasificación a la permeabilidad al aire clase 4, según UNE-EN 12207, clasificación a la estanqueidad al agua clase E1650, según UNE-EN 12208, y clasificación a la resistencia a la carga del viento clase C5, según UNE-EN 12210, con cerradura de seguridad, con premarco. Incluso silicona para sellado perimetral de la junta entre la carpintería exterior y el paramento. TSAC.
Incluye: Colocación del premarco. Colocación de la carpintería sobre el premarco. Ajuste final de la hoja. Sellado perimetral de la junta entre la carpintería exterior y el paramento.",,,,,,,,,
,,Spc0010,,Pe.5,1.0000000000,0.000,0.000,0.000,1.000,,,
,,,,,,,,,Total 05.01.31,1.000,0.00,0.00
,,,,,,,,,,,,
05.01.32,Partida,Ud,Pe.2 Puerta exterior de lamas termotratadas para aerotermia,,,,,,,1.000,0.00,0.00
,,,"Puerta exterior de una sola hoja y cerramiento fijo, compuesta por entramado de madera mediante listones con tratamiento hidrófugo de 10x5 cm, para formación de puerta abatible y parte fija, con acabado de fachada ventalada de madera termotratada ""thermopine finsa"" de 120 mm puesta de canto para facilitar la extracción de aire, con acabado lasur incoloro, con doble rastrelado hidrófugo.
Incluye: Colocación y fijación del cerco. Colocación y fijación de los elementos de colgar. Colocación de la hoja.",,,,,,,,,
,,Spc0010,,Pe.2,1.0000000000,0.000,0.000,0.000,1.000,,,
,,,,,,,,,Total 05.01.32,1.000,0.00,0.00
,,,,,,,,,,,,
,,,,,,,,,Total 05.01,1.000,0.00,0.00
,,,,,,,,,,,,
05.02,Capítulo,,Puertas de entrada a vivienda,,,,,,,1.000,0.00,0.00
05.02.01,Partida,Ud,"Puerta de entrada de 250x130x13,5 cm, de una hoja pivotante de madera",,,,,,,1.000,0.00,0.00
,,,"Puerta de entrada de 250x130x13,5 cm, de una hoja pivotante de madera, con acabado interior madera maciza de roble natural satinado, acabado barniz incoloro, entramado interior con estructura metálica para evitar deformaciones en la hoja y lana de roca de 40 mm, tablero exterior DM hidrófugo sobre el que se coloca la fachada ventilada, de madera termotratada thermopine finsa 120 mm, con accabado lasur incoloro y doble rastrelado hidrófugo, junta vertical con lámina impermeable transpirable Tyvek. Incluye cerradura de seguridad.
Incluye: Colocación de los herrajes de colgar. Colocación de la hoja. Colocación de los herrajes de cierre. Colocación de accesorios.",,,,,,,,,
,,Spc0010,,Pe.3,1.0000000000,0.000,0.000,0.000,1.000,,,
,,,,,,,,,Total 05.02.01,1.000,0.00,0.00
,,,,,,,,,,,,
,,,,,,,,,Total 05.02,1.000,0.00,0.00
,,,,,,,,,,,,
05.03,Capítulo,,Puertas interiores,,,,,,,1.000,0.00,0.00
05.03.01,Partida,Ud,Pi.3 Puerta interior corredera,,,,,,,1.000,0.00,0.00
,,,"Puerta interior corredera, ciega, de una hoja de 220x80x3,5 cm (80 cm de paso), de roble macizo, lisa; incluido armazón metalico, precerco de madera de 110x35 mm; galces de roble macizo de 110x20 mm; tapajuntas de roble macizo de 70x10 mm en ambas caras. Incluso herrajes de colgar, de cierre y tiradores mediante mecanizado en puerta 200x40mm y 12mm de profundidad..
Condena modelo JNF IN.04.236.06.
Acabado barnizado en taller con barniz al agua con acabado mate cero (poco brillo, similar al acabado de pavimento madera), 
Incluye: Presentación de la puerta. armazón metálico Colocación de los herrajes de colgar. Colocación de la hoja. Colocación de los herrajes de cierre. Colocación de accesorios. Ajuste final.",,,,,,,,,
,,Spc0010,,Pi.3,1.0000000000,0.000,0.000,0.000,1.000,,,
,,,,,,,,,Total 05.03.01,1.000,0.00,0.00
,,,,,,,,,,,,
05.03.02,Partida,Ud,Pi.5 Puerta interior abatible,,,,,,,1.000,0.00,0.00
,,,"Puerta interior abatible, ciega, de una hoja de 220x97x3,5 cm, de roble macizo, lisa; sin batiente superior para continuidad de techo, precerco de madera de 110x35 mm; galces de roble macizo de 110x20 mm; tapajuntas de roble macizo de 70x10 mm en ambas caras. 
Con herrajes en acero inoxidable, Manilla modelo JNF IN.00.028B sin roseta
Acabado barnizado en taller con barniz al agua con acabado mate cero (poco brillo, similar al acabado de pavimento madera), 
Incluye: Presentación de la puerta. Colocación de los herrajes de colgar. Colocación de la hoja. Colocación de los herrajes de cierre. Colocación de accesorios. Ajuste final.",,,,,,,,,
,,Spc0010,,Pi.5,1.0000000000,0.000,0.000,0.000,1.000,,,
,,,,,,,,,Total 05.03.02,1.000,0.00,0.00
,,,,,,,,,,,,
05.03.03,Partida,Ud,Pi.9 Puerta interior abatible,,,,,,,1.000,0.00,0.00
,,,"Puerta interior abatible, ciega, de una hoja de 241x97x3,5 cm, de tablero de MDF, lacada en blanco, lisa; sin batiente superior para continuidad de techo, precerco de madera de 110x35 mm; galces de MDF de 110x20 mm; tapajuntas de MDF de 70x10 mm en ambas caras. 
Con herrajes en acero inoxidable, Manilla modelo JNF IN.00.028B sin roseta.
Incluso bisagras, herrajes de colgar, de cierre y tiradores de madera de roble.
Incluye: Presentación de la puerta. Colocación de los herrajes de colgar. Colocación de la hoja. Colocación de los herrajes de cierre. Colocación de accesorios. Ajuste final.",,,,,,,,,
,,Spc0010,,Pi.9,1.0000000000,0.000,0.000,0.000,1.000,,,
,,,,,,,,,Total 05.03.03,1.000,0.00,0.00
,,,,,,,,,,,,
05.03.04,Partida,Ud,Pi.8 Puerta interior abatible,,,,,,,1.000,0.00,0.00
,,,"Puerta interior abatible, ciega, de una hoja de 220x97x3,5 cm, de tablero de MDF, lacada en blanco, lisa; sin batiente superior para continuidad de techo, precerco de madera de 110x35 mm; galces de MDF de 110x20 mm; tapajuntas de MDF de 70x10 mm en ambas caras. 
Con herrajes en acero inoxidable, Manilla modelo JNF IN.00.028B sin roseta.
Incluso bisagras, herrajes de colgar, de cierre y tiradores de madera de roble.
Incluye: Presentación de la puerta. Colocación de los herrajes de colgar. Colocación de la hoja. Colocación de los herrajes de cierre. Colocación de accesorios. Ajuste final.",,,,,,,,,
,,Spc0010,,Pi.8,1.0000000000,0.000,0.000,0.000,1.000,,,
